"Dato";"Pris"
"1-1-2010";"10,41"
"2-1-2010";"10,41"
"3-1-2010";"10,41"
"4-1-2010";"10,44"
"5-1-2010";"10,48"
"6-1-2010";"10,55"
"7-1-2010";"10,58"
"8-1-2010";"10,62"
"9-1-2010";"10,62"
"10-1-2010";"10,65"
"11-1-2010";"10,65"
"12-1-2010";"10,67"
"13-1-2010";"10,62"
"14-1-2010";"10,58"
"15-1-2010";"10,48"
"16-1-2010";"10,50"
"17-1-2010";"10,50"
"18-1-2010";"10,52"
"19-1-2010";"10,48"
"20-1-2010";"10,48"
"21-1-2010";"10,46"
"22-1-2010";"10,52"
"23-1-2010";"10,54"
"24-1-2010";"10,54"
"25-1-2010";"10,56"
"26-1-2010";"10,48"
"27-1-2010";"10,46"
"28-1-2010";"10,48"
"29-1-2010";"10,50"
"30-1-2010";"10,46"
"31-1-2010";"10,46"
"1-2-2010";"10,42"
"2-2-2010";"10,48"
"3-2-2010";"10,48"
"4-2-2010";"10,52"
"5-2-2010";"10,58"
"6-2-2010";"10,52"
"7-2-2010";"10,52"
"8-2-2010";"10,48"
"9-2-2010";"10,42"
"10-2-2010";"10,38"
"11-2-2010";"10,42"
"12-2-2010";"10,42"
"13-2-2010";"10,48"
"14-2-2010";"10,48"
"15-2-2010";"10,52"
"16-2-2010";"10,52"
"17-2-2010";"10,52"
"18-2-2010";"10,58"
"19-2-2010";"10,62"
"20-2-2010";"10,68"
"21-2-2010";"10,74"
"22-2-2010";"10,74"
"23-2-2010";"10,78"
"24-2-2010";"10,82"
"25-2-2010";"10,80"
"26-2-2010";"10,80"
"27-2-2010";"10,76"
"28-2-2010";"10,76"
"1-3-2010";"10,72"
"2-3-2010";"10,78"
"3-3-2010";"10,78"
"4-3-2010";"10,78"
"5-3-2010";"10,85"
"6-3-2010";"10,85"
"7-3-2010";"10,82"
"8-3-2010";"10,82"
"9-3-2010";"10,92"
"10-3-2010";"11,00"
"11-3-2010";"11,00"
"12-3-2010";"11,10"
"13-3-2010";"11,08"
"14-3-2010";"11,08"
"15-3-2010";"11,06"
"16-3-2010";"11,02"
"17-3-2010";"10,92"
"18-3-2010";"10,98"
"19-3-2010";"11,01"
"20-3-2010";"11,01"
"21-3-2010";"11,04"
"22-3-2010";"11,04"
"23-3-2010";"11,00"
"24-3-2010";"11,00"
"25-3-2010";"11,06"
"26-3-2010";"11,06"
"27-3-2010";"11,10"
"28-3-2010";"11,12"
"29-3-2010";"11,12"
"30-3-2010";"11,05"
"31-3-2010";"11,11"
"1-4-2010";"11,08"
"2-4-2010";"11,12"
"3-4-2010";"11,12"
"4-4-2010";"11,12"
"5-4-2010";"11,14"
"6-4-2010";"11,14"
"7-4-2010";"11,22"
"8-4-2010";"11,26"
"9-4-2010";"11,22"
"10-4-2010";"11,20"
"11-4-2010";"11,20"
"12-4-2010";"11,18"
"13-4-2010";"11,18"
"14-4-2010";"11,12"
"15-4-2010";"11,05"
"16-4-2010";"11,12"
"17-4-2010";"11,16"
"18-4-2010";"11,16"
"19-4-2010";"11,18"
"20-4-2010";"11,08"
"21-4-2010";"11,08"
"22-4-2010";"11,16"
"23-4-2010";"11,18"
"24-4-2010";"11,18"
"25-4-2010";"11,18"
"26-4-2010";"11,21"
"27-4-2010";"11,28"
"28-4-2010";"11,32"
"29-4-2010";"11,28"
"30-4-2010";"11,22"
"1-5-2010";"11,22"
