rain_bin,traffic_mean,traffic_median,rain_mean_mm,n_obs
0 mm,11091.152030586747,8533.0,0.0,33217
0-2 mm,11091.428604040635,8418.0,0.7263953886542632,17522
2-5 mm,11123.64759411618,8552.5,3.238469209673398,8022
5-10 mm,11032.822276822277,8501.0,7.117895167895169,4884
10+ mm,10848.705479452055,8210.5,19.347152126892574,2774
