road_site_id,n_days,avg_daily_traffic,median_daily_traffic,std_daily_traffic,rain_mean_mm,road_name,lane,x_utm32,y_utm32,lon,lat,station_id,station_distance_km
101 1015968-0 1/ 61 T||Roskildevej||718730||6175142,688,36915.626453488374,39830.0,6634.92872744979,2.04796511627907,Roskildevej,,718730,6175142,12.478543371612943,55.672726549270536,5735,6.226809278273065
101 1016264-0 0/ 248 +||Skt. Kjelds Gade||724059||6179474,1370,519.8810218978102,517.0,122.11403502649632,1.98014598540146,Skt. Kjelds Gade,,724059,6179474,12.56664989606374,55.70914754712229,5735,2.420428996554096
101 1016264-0 0/ 248 -||Skt. Kjelds Gade||724059||6179474,1370,604.1905109489051,593.0,148.7392335212523,1.98014598540146,Skt. Kjelds Gade,,724059,6179474,12.56664989606374,55.70914754712229,5735,2.420428996554096
101 1016264-0 0/ 248 T||Skt. Kjelds Gade||724059||6179474,1370,1123.941605839416,1123.5,262.6780620860655,1.98014598540146,Skt. Kjelds Gade,,724059,6179474,12.56664989606374,55.70914754712229,5735,2.420428996554096
101 1017280-0 0/ 332 +||Sølvgade||725098||6177029,999,5267.856856856857,5618.0,1343.724246350787,1.8489489489489488,Sølvgade,,725098,6177029,12.581145131409627,55.68674028436356,5735,0.4509980766118979
101 1017280-0 0/ 332 -||Sølvgade||725098||6177029,998,8260.865731462925,8579.0,1666.722135221145,1.8463927855711424,Sølvgade,,725098,6177029,12.581145131409627,55.68674028436356,5735,0.4509980766118979
101 1017280-0 0/ 332 T||Sølvgade||725098||6177029,998,13527.74749498998,14251.0,2946.0833426013933,1.8463927855711424,Sølvgade,,725098,6177029,12.581145131409627,55.68674028436356,5735,0.4509980766118979
101 1017592-0 0/ 635 +||Torvegade||726066||6175240,1370,14092.526277372262,14598.0,1691.2936001891903,1.98014598540146,Torvegade,,726066,6175240,12.595037788980418,55.67024734093181,5735,2.348644757985736
101 1017592-0 0/ 635 -||Torvegade||726066||6175240,1370,13728.753284671533,13881.5,1446.3037224987788,1.98014598540146,Torvegade,,726066,6175240,12.595037788980418,55.67024734093181,5735,2.348644757985736
101 1017592-0 0/ 635 T||Torvegade||726066||6175240,1370,27820.844525547443,28490.0,3093.872416132812,1.98014598540146,Torvegade,,726066,6175240,12.595037788980418,55.67024734093181,5735,2.348644757985736
101 1017684-0 1/ 651 +||Tuborgvej||722325||6180411,944,13147.86122881356,14685.0,2819.148658527424,1.7953389830508475,Tuborgvej,,722325,6180411,12.53986751879737,55.71834847510562,5735,4.02068671013584
101 1017684-0 1/ 651 -||Tuborgvej||722325||6180411,943,13615.248144220574,15068.0,2791.575180286454,1.7972428419936373,Tuborgvej,,722325,6180411,12.53986751879737,55.71834847510562,5735,4.02068671013584
101 1017684-0 1/ 651 T||Tuborgvej||722325||6180411,943,26765.62884411453,29839.0,5585.980615945145,1.7972428419936373,Tuborgvej,,722325,6180411,12.53986751879737,55.71834847510562,5735,4.02068671013584
101 1018128-0 3/ 215 +||Vejlands Alle´||724365||6171942,1043,13556.870565675934,14070.0,2233.987132501593,1.727229146692234,Vejlands Alle´,,724365,6171942,12.565354165258793,55.64145924073255,5735,5.182637667303891
