weekday_name,traffic_mean,traffic_median,rain_mean_mm,n_obs,weekday_order
Monday,11570.30579297246,8782.0,1.3419964123667827,9477,0
Tuesday,11853.396218702095,8938.0,1.5776801226366888,9785,1
Wednesday,12005.31386706307,9064.0,1.9913145041410067,9418,2
Thursday,12189.461414271876,9182.0,1.5257022925411687,9291,3
Friday,12348.797520226963,9566.0,2.376274035935694,9517,4
Saturday,9209.022659889877,7486.0,2.817100804743753,9444,5
Sunday,8382.228839464531,6749.0,1.7745124907768524,9487,6
