date,traffic_total,traffic_mean_site,traffic_median_site,rain_mean_mm,rain_median_mm,rain_max_mm,gasoline_price_mean,real_gasoline_price_mean,diesel_price_mean,real_diesel_price_mean,traffic_total_index100,traffic_mean_site_index100,gasoline_price_mean_index100,real_gasoline_price_mean_index100,diesel_price_mean_index100,real_diesel_price_mean_index100,traffic_total_ma7,traffic_total_ma30,traffic_mean_site_ma7,traffic_mean_site_ma30,gasoline_price_mean_ma7,gasoline_price_mean_ma30,real_gasoline_price_mean_ma7,real_gasoline_price_mean_ma30,rain_mean_mm_ma7,rain_mean_mm_ma30
2011-01-02,375384.0,6585.684210526316,6162.0,0.6,0.6,0.6,11.64,14.982623246235038,10.35,13.322177886471875,100.0,100.0,100.0,100.0,100.0,100.0,375384.0,375384.0,6585.684210526316,6585.684210526316,11.64,11.64,14.982623246235038,14.982623246235038,0.6,0.6
2011-01-03,579164.0,10160.771929824561,8041.0,0.5,0.5,0.5,11.6,14.931136568412922,10.29,13.244947869738704,154.28574473072908,154.28574473072908,99.65635738831614,99.65635738831614,99.42028985507247,99.42028985507245,477274.0,477274.0,8373.228070175439,8373.228070175439,11.620000000000001,11.620000000000001,14.95687990732398,14.95687990732398,0.55,0.55
2011-01-04,699128.0,11652.133333333333,8836.5,0.5,0.5,0.5,11.62,14.95687990732398,10.26,13.20633286137212,186.24342007118045,176.93124906762142,99.82817869415807,99.82817869415807,99.1304347826087,99.1304347826087,551225.3333333334,551225.3333333334,9466.19649122807,9466.19649122807,11.62,11.62,14.95687990732398,14.95687990732398,0.5333333333333333,0.5333333333333333
2011-01-05,731076.0,12184.6,9114.0,9.159999999999998,9.2,9.2,11.6,14.931136568412922,10.24,13.180589522461064,194.75417172815037,185.01646314174286,99.65635738831614,99.65635738831614,98.93719806763286,98.93719806763286,596188.0,596188.0,10145.797368421052,10145.797368421052,11.615,11.615,14.950444072596216,14.950444072596216,2.6899999999999995,2.6899999999999995
2011-01-06,670470.0,11174.5,7944.0,1.4,1.4,1.4,11.6,14.931136568412922,10.22,13.154846183550006,178.60910427722013,169.67864906335913,99.65635738831614,99.65635738831614,98.74396135265701,98.74396135265701,611044.4,611044.4,10351.53789473684,10351.53789473684,11.612,11.612,14.946582571759558,14.946582571759558,2.4319999999999995,2.4319999999999995
2011-01-07,752506.0,12541.766666666666,9237.5,2.4699999999999998,2.5,2.5,11.75,15.12421161024585,10.35,13.322177886471875,200.4629925622829,190.43984293416872,100.94501718213058,100.94501718213058,100.0,100.0,634621.3333333334,634621.3333333334,10716.576023391814,10716.576023391814,11.635,11.635,14.976187411507274,14.976187411507274,2.438333333333333,2.438333333333333
2011-01-08,557256.0,9287.6,8339.0,0.04000000000000001,0.0,0.4,11.82,15.214313296434549,10.38,13.36079289483846,148.44958762227478,141.02710824116105,101.5463917525773,101.5463917525773,100.28985507246378,100.28985507246375,623569.1428571428,623569.1428571428,10512.436591478696,10512.436591478696,11.661428571428571,11.661428571428571,15.010205395068311,15.010205395068311,2.0957142857142856,2.0957142857142856
2011-01-09,505394.0,8423.233333333334,6715.5,0.0,0.0,0.0,11.85,15.252928304801133,10.38,13.36079289483846,134.63386825224305,127.90217483963089,101.8041237113402,101.8041237113402,100.28985507246378,100.28985507246375,642142.0,608797.25,10774.943609022555,10251.286184210527,11.691428571428572,11.685,15.048820403434897,15.040545758784914,2.01,1.8337499999999998
2011-01-10,704346.0,12356.947368421053,9395.0,1.0263157894736843,1.1,1.1,11.85,15.252928304801133,10.41,13.399407903205049,187.63346333354644,187.63346333354647,101.8041237113402,101.8041237113402,100.57971014492755,100.57971014492755,660025.1428571428,619413.7777777778,11088.682957393483,10485.248538011696,11.727142857142857,11.703333333333333,15.094790651490355,15.064143819453383,2.0851879699248115,1.7440350877192978
2011-01-11,699144.0,12265.684210526315,9563.0,1.0947368421052632,1.2,1.2,11.85,15.252928304801133,10.46,13.463766250482688,186.2476823732498,186.24768237324977,101.8041237113402,101.8041237113402,101.06280193236717,101.06280193236717,660027.4285714285,627386.8,11176.333082706768,10663.292105263157,11.76,11.718,15.137083279701377,15.08302226798816,2.170150375939849,1.6791052631578947
