week_start,traffic_total,traffic_mean_site,traffic_median_site,rain_mean_mm,rain_median_mm,rain_max_mm,gasoline_price_mean,real_gasoline_price_mean,diesel_price_mean,real_diesel_price_mean,traffic_total_index100,traffic_mean_site_index100,gasoline_price_mean_index100,real_gasoline_price_mean_index100,diesel_price_mean_index100,real_diesel_price_mean_index100,traffic_total_ma7,traffic_total_ma30,traffic_mean_site_ma7,traffic_mean_site_ma30,gasoline_price_mean_ma7,gasoline_price_mean_ma30,real_gasoline_price_mean_ma7,real_gasoline_price_mean_ma30,rain_mean_mm_ma7,rain_mean_mm_ma30
2010-12-28,477274.0,8373.228070175439,7101.5,0.55,0.55,0.55,11.620000000000001,14.95687990732398,10.32,13.28356287810529,127.14287236536454,127.14287236536454,99.82817869415807,99.82817869415807,99.71014492753623,99.71014492753622,426329.0,426329.0,7479.456140350878,7479.456140350878,11.63,11.63,14.969751576779508,14.969751576779508,0.575,0.575
2011-01-04,660025.1428571428,11088.682957393483,8511.642857142857,2.0851879699248115,2.1,2.157142857142857,11.727142857142857,15.094790651490355,10.320000000000002,13.28356287810529,175.82665826384257,168.3755643744615,100.74864997545409,100.74864997545409,99.71014492753625,99.71014492753623,616973.6217687075,606408.4624716553,10436.595847953215,10275.582727354098,11.651714285714286,11.64739455782313,14.997701487597228,14.992141276641949,2.0406527031865376,1.9667380057286068
2011-01-11,647628.8571428572,11398.860289612921,9066.642857142857,4.316833751044277,4.514285714285714,4.514285714285714,11.882857142857143,15.295220933012155,10.582857142857142,13.621903903793465,172.52436362307853,173.08543691471573,102.08640157093762,102.08640157093764,102.24982746721878,102.24982746721878,659016.1632653062,637578.1757777936,11432.05620002387,10930.405544213281,11.847142857142856,11.756506428095713,15.249250684956696,15.132586469424268,2.8725719059553643,2.405220253152584
2011-01-18,673320.5714285715,11222.009523809524,8934.714285714286,0.3271428571428571,0.34285714285714286,0.35714285714285715,11.765714285714285,15.14443851939025,10.48857142857143,13.500542448927053,179.3684790583966,170.40005510547675,101.08001963672066,101.08001963672066,101.33885438233266,101.33885438233264,662059.8775510204,645917.4501206378,11266.578597286867,11052.71151406501,11.822448979591837,11.781895455068511,15.217465542015495,15.165266385723402,2.0223821458407927,2.3356244401588344
2011-01-25,642209.4285714285,11012.132840722496,8848.42857142857,0.11556650246305418,0.12857142857142856,0.12857142857142856,11.60142857142857,14.932975378335144,10.367142857142856,13.344243605538495,171.0806610221609,167.2131928694836,99.66863033873344,99.66863033873344,100.1656314699793,100.16563146997929,655035.2244897959,648530.9462098839,11077.21048557354,11060.506908901543,11.67265306122449,11.754453665409576,15.024653187314312,15.129944221147609,0.35589725545390577,1.816621778334069
2011-02-01,659808.7142857143,11376.012315270937,9067.57142857143,3.4399014778325125,3.5285714285714285,3.5285714285714285,11.698571428571428,14.874216692398509,10.582857142857142,13.455635273817093,175.76900301710097,172.73850296508198,100.5031909671085,99.27645144608591,102.24982746721878,101.0017685432705,650472.4285714285,656275.1,11215.041871921183,11226.661221668475,11.648367346938775,11.745095238095237,14.88835009507412,15.093388254014988,2.0894440534834624,1.8492418498353163
2011-02-08,636904.4285714285,11107.886162113748,9088.214285714286,0.6261083743842365,0.6571428571428571,0.6571428571428571,11.704285714285716,14.881482154209426,10.638571428571428,13.526473526473525,169.66744149229285,168.6671544979231,100.5522827687776,99.32494403440981,102.7881297446515,101.533500316109,651625.8571428572,654265.0476190476,11280.884191670399,11224.54412824992,11.694081632653061,11.72095238095238,14.868508115261362,15.019442681456045,1.8917663617171008,1.7544142348207683
2011-02-15,615811.7142857143,10703.474294670847,8448.642857142857,0.012807881773399015,0.014285714285714287,0.014285714285714287,11.854285714285714,15.072200526745979,10.714285714285714,13.622740895468167,164.04847150803292,162.526382263559,101.84094256259205,100.59787447791196,103.51966873706003,102.25611016124849,618161.1020408163,645814.7428571429,10751.05987460815,11090.856943324874,11.781428571428572,11.704285714285714,14.979565888656795,14.954800006391997,0.12688247712878256,1.0760738916256156
2011-02-22,628884.4285714285,11434.262337662338,9247.285714285714,0.07636363636363637,0.08571428571428572,0.08571428571428572,12.058571428571428,15.331940786486241,10.805714285714286,13.73898828444283,167.53096258003234,173.6229975829426,103.59597447226312,102.33148451049105,104.40303657694962,103.12869563462448,623093.5714285715,636366.5285714286,11166.684946580513,11097.172035129623,11.959183673469386,11.759904761904762,15.205573647132088,14.982549475628028,0.08002303115603608,0.9931268846096434
2011-03-01,520081.0,10197.666666666668,8072.714285714285,0.0,0.0,0.0,12.262857142857143,15.504940122464461,11.064285714285715,13.989487563896466,138.54639515802484,154.84597105896896,105.35100638193421,103.48615104074432,106.90131124913735,105.00901341440739,566446.8979591837,617892.0095238095,10740.642482447525,11011.961214257908,12.181632653061225,11.88995238095238,15.438988697663262,15.106886618859802,0.0,0.7202976563666219
2011-03-08,510374.0,10007.333333333332,7967.714285714285,1.8747899159663868,1.957142857142857,1.9857142857142858,12.348571428571429,15.613315752397812,11.167142857142858,14.119538319816485,135.96050977132748,151.9558638620719,106.08738340697104,104.20949319620154,107.89510006901311,105.9852108276853,513325.9387755102,584152.1333333333,10065.214485794319,10711.413616518708,12.334897959183674,12.040095238095237,15.5960272590513,15.27655957647107,1.2839135654261706,0.3895983421581799
2011-03-15,516901.4285714286,10135.32212885154,8012.571428571428,1.5596638655462183,1.657142857142857,1.6714285714285713,12.162857142857144,15.37850188754222,11.124285714285715,14.065350504849809,137.69937679054743,153.8993034717883,104.4918998527246,102.64225185937758,107.48102139406488,105.57846190548617,513641.55102040817,558290.7285714286,10071.402961184474,10521.837676621328,12.25673469387755,12.160333333333332,15.497199006040649,15.4092075581518,1.9172869147659062,0.766472678099453
2011-03-22,524871.1428571428,10291.591036414566,8076.714285714285,0.014285714285714287,0.014285714285714287,0.028571428571428574,12.23857142857143,15.474233693983347,11.112857142857141,14.050900420858696,139.82245989630428,156.27216106057537,105.14236622484044,103.28120409669812,107.37060041407868,105.46999552623303,521176.85714285716,535167.7285714286,10219.15406162465,10348.492442067736,12.171020408163264,12.223095238095238,15.3888233761073,15.468918572471486,0.2380552220888355,0.8075839062897886
2011-03-29,544656.5714285715,10679.540616246499,8423.714285714286,2.4747899159663866,2.585714285714286,2.585714285714286,12.404285714285715,15.645317922075282,11.131428571428572,14.03996029919924,145.09317696773743,162.1629624933536,106.56602847324497,104.4230884335076,107.55003450655624,105.3878759077091,536771.2244897959,521815.1523809523,10524.925970388156,10227.089486461251,12.34265306122449,12.274571428571429,15.592110018291654,15.516959093208488,1.675270108043217,1.193389355742297
2011-04-05,522304.0,10326.200980392156,8071.857142857143,1.1125,1.1428571428571428,1.1428571428571428,12.551428571428572,15.801874067013184,11.192857142857145,14.091473174942896,139.13858875178485,156.79769406324002,107.83014236622485,105.4680065520837,108.14354727398207,105.77454598660036,538511.3877551021,526346.4,10571.181972789116,10323.349183006536,12.493061224489797,12.31795238095238,15.732493535458776,15.556580017836216,0.9679321728691477,1.244646358543417
2011-04-12,472770.0,9626.6918767507,7604.642857142857,0.42857142857142855,0.4428571428571429,0.4428571428571429,12.60142857142857,15.864822575133541,11.214285714285714,14.11845110699448,125.94303433284315,146.1760322695666,108.25969563082965,105.88814998815504,108.35058661145617,105.97704990361362,484436.28571428574,519992.9619047619,9851.63325330132,10281.111227824464,12.57795918367347,12.381619047619049,15.835275316219905,15.621195032270151,1.3821428571428576,1.0987710084033613
2011-04-19,510428.0,10008.392156862745,7968.0,0.0,0.0,0.0,12.64,15.913382852826388,11.15,14.037517310839732,135.97489504081156,151.97194151620113,108.59106529209622,106.21226063883866,107.72946859903382,105.3695381525738,473005.14285714284,516912.4666666667,9542.230042016807,10238.587418300653,12.611428571428572,12.445333333333332,15.877412276757612,15.692645540110535,0.0,0.9403676470588235
2011-04-26,458210.0,10166.399159663866,7792.785714285715,0.940546218487395,1.0285714285714285,1.0571428571428572,12.73,16.020912170344094,11.14,14.019889105287504,122.0643394497368,154.3711911271765,109.36426116838489,106.92995416787221,107.63285024154591,105.23721590239482,495397.02040816325,512789.5904761905,9920.89730892357,10197.14302054155,12.673877551020409,12.515428571428572,15.954796021096808,15.771812340273698,0.21383553421368548,0.9896183473389355
2011-05-03,188050.2857142857,10495.364145658265,6883.071428571428,0.1392857142857143,0.15714285714285717,0.15714285714285717,12.652857142857144,15.909539975930016,10.928571428571429,13.741445276714986,50.09544512133861,159.36634387787464,108.70152184585174,106.18661174656381,105.59006211180125,103.1471385070519,244604.08163265305,445276.77142857143,10297.104041616647,10156.91622315593,12.728367346938777,12.610952380952382,16.00860007749313,15.87469616169044,0.8460984393757502,0.8781617647058824
2011-05-10,544476.5714285715,10457.768134840142,8055.285714285715,2.5626195305708492,2.457142857142857,3.6285714285714286,12.617142857142856,15.864633292019182,10.739999999999998,13.504337985665787,145.04522606945724,158.7954690892228,108.39469808541972,105.88688663719675,103.76811594202898,101.3673447445773,423264.1224489796,417640.65714285715,10588.325019663038,10149.138279564699,12.604285714285714,12.641809523809524,15.848466885811282,15.906975148270622,0.9660584923624622,0.8323149087221096
2011-05-17,623705.6,10840.053542319749,8532.2,3.0572413793103452,3.0199999999999996,3.38,12.39,15.579026782346284,10.706,13.461586822582674,166.15135434648255,164.60026317377023,106.44329896907216,103.98063494162223,103.43961352657007,101.04644253588869,576987.6285714286,435962.5333333333,10463.72862727536,10256.015568586474,12.530285714285714,12.6316,15.755420236748037,15.89015944142904,3.2121066357577512,1.1374915483434753
2011-05-24,663756.0,11444.068965517243,8791.785714285714,2.0123152709359604,2.0285714285714285,2.1714285714285713,12.450000000000001,15.654470011316485,10.854285714285714,13.648039374180453,176.82053577137012,173.77190584427754,106.95876288659792,104.4841731253589,104.87232574189098,102.44600763092555,653042.8571428572,471559.15714285715,11303.496705265177,10611.393986020741,12.400204081632653,12.586095238095238,15.591857263463666,15.828946331557518,2.4909922589725544,1.5893142084419978
2011-05-31,607506.0,10474.241379310344,8057.5,0.6820689655172414,0.6799999999999999,0.96,12.462,15.696375099881156,11.096,13.975961470210063,161.83588005881978,159.04560626470217,107.06185567010309,104.76386439087344,107.20772946859901,104.9074827652773,625749.8285714285,501744.8866666667,10788.790147783253,10739.767186059376,12.492857142857144,12.5414,15.717958420104633,15.771769948967641,1.5108374384236454,1.7555395537525356
2011-06-07,717467.0,12370.120689655172,9098.25,1.0879310344827586,1.075,1.2,12.335,15.543094758064516,11.0825,13.96484375,191.12881742429087,187.833492985941,105.97079037800688,103.74081028814709,107.07729468599035,104.82403004227052,639416.7857142857,575210.4416666667,11024.427339901478,10870.48246158338,12.409642857142858,12.484916666666667,15.63353668365443,15.705611875493489,1.2337438423645322,1.835760649087221
2011-06-14,573691.5714285715,10963.256940017385,8225.92857142857,2.8063170095624455,2.857142857142857,3.2142857142857144,12.422857142857143,15.65380184331797,11.265714285714285,14.195708525345621,152.82792325420675,166.47103914418062,106.72557682866962,104.47971350578806,108.84748102139406,106.5569657327634,657743.3877551021,627493.4476190477,11758.796644174912,11090.476522805571,12.391428571428571,12.450761904761904,15.61419930875576,15.668790709055775,2.4189841453822907,2.2352033227083936
2011-06-21,491716.0,10927.022222222222,8155.714285714285,2.9285714285714284,2.9,3.342857142857143,12.225714285714286,15.405385944700459,11.017142857142858,13.882488479262674,130.99013277070947,165.92083484289864,105.03190967108493,102.8216867735205,106.44582470669427,104.20584830472629,512692.36734693876,615025.5523809524,10956.8095882031,11205.846022067484,12.323061224489797,12.396857142857142,15.52805093811718,15.608756380249904,3.334844006568145,2.340096847934576
2011-06-28,617549.0,12223.36425173466,9191.357142857143,23.004912638382027,23.900000000000002,23.97142857142857,12.12142857142857,15.279515652209408,10.85142857142857,13.678632184445684,164.5112737889734,185.6050770274907,104.13598429062347,101.9815782663358,104.84472049689441,102.67564583667489,542283.8163265305,589181.7761904761,11254.162259994622,11194.334651504352,12.127142857142857,12.333142857142857,15.283154921814127,15.536725833865011,13.086006316327017,4.8122667946506175
