year_month,traffic_total,traffic_mean_site,rain_mean_mm,rain_total_mm,gasoline_price,real_gasoline_price,diesel_price,real_diesel_price
2011-01,19316836.0,11006.74415954416,1.6203418803418803,2843.7,11.735236467236467,15.105208478873044,10.430484330484331,13.425774656306254
2011-02,17789865.0,11160.51756587202,1.057340025094103,1685.4,11.826141781681304,15.03641675992537,10.683782936010038,13.583957960597631
2011-03,16272183.0,10292.33586337761,1.155787476280835,1827.3,12.264516129032259,15.50703771530188,11.118709677419355,14.058300262257372
2011-04,12199504.0,10090.574028122415,0.7476426799007444,903.9,12.582952853598016,15.841562197655813,11.175111662531016,14.069132144694722
2011-05,14159466.0,10883.524980784012,2.1024596464258263,2735.3,12.5167332820907,15.738379582661508,10.80870868562644,13.590731404031738
2011-06,14436622.0,11173.856037151703,1.9046439628482974,2460.8,12.316633126934985,15.519951016803157,11.090348297213621,13.974733237416359
2011-07,17100415.0,11235.489487516426,9.765768725361367,14863.5,12.488613666228645,15.746581346902843,11.182614980289092,14.099880192017519
2011-08,18404754.0,12649.315463917526,3.7002749140893467,5383.9,12.298501718213059,15.514698774079802,10.996027491408935,13.871612831347214
2011-09,17359224.0,12488.65035971223,1.7419424460431656,2421.3,12.44731654676259,15.649128170433226,11.141474820143884,14.007385994649086
2011-10,18486934.0,12662.283561643835,1.1849999999999998,1730.1,12.216000000000001,15.335174491589255,11.208027397260274,14.06983102844624
2011-11,19438077.0,12654.998046875,0.36985677083333335,568.1,12.060878906250002,15.155665878675547,11.411634114583334,14.339826733580466
2011-12,18984270.0,12914.469387755102,1.8773469387755102,2759.7,12.09278231292517,15.195755608098981,11.230625850340136,14.112372267328647
2012-01,19303169.0,11698.890303030303,2.305030303030303,3803.3,12.652333333333333,15.845126278438741,11.628333333333334,14.562721769985389
2012-02,18771376.0,11768.887774294672,0.9522257053291536,1518.8,12.955862068965516,16.03051480941044,11.745172413793103,14.532507317239673
2012-03,20613746.0,12132.869923484403,0.45673925838728663,776.0,13.420912301353738,16.52211289099315,11.916256621542084,14.669773016794391
2012-04,15573175.0,11979.365384615385,1.2331538461538463,1603.1000000000001,13.449769230769231,16.55559974245351,11.797746153846154,14.522090292769763
2012-05,15574236.0,12380.155802861686,0.7709856915739268,969.9,13.017829888712242,16.02194447841507,11.56700317965024,14.236311605723369
2012-06,18102952.0,11894.186596583442,2.8890275952693827,4397.1,12.695013140604468,15.649671031317144,11.140611038107751,13.733494869462218
2012-07,16798569.0,10011.066150178784,1.5764600715137067,2645.2999999999997,13.029833134684148,16.064397897526998,11.564743742550656,14.258098560659173
2012-08,19321974.0,11332.536070381231,1.080058651026393,1841.5,13.563870967741936,16.667327313519213,12.024838709677418,14.776159633420276
2012-09,19292814.0,11368.776664702416,2.0466116676487918,3473.1,13.54142015321155,16.600980940556028,12.03101944608132,14.749318923723575
2012-10,19117349.0,11076.10023174971,2.204577056778679,3805.1,13.137479721900348,16.117629397497666,11.959519119351102,14.672456286775978
2012-11,15089287.0,10335.12808219178,2.1506164383561646,3139.9,12.72868493150685,15.637205075561237,11.735568493150685,14.417160310995925
2012-12,13052657.0,10173.544037412315,2.5777864380358535,3307.3,12.600062353858144,15.523053287985888,11.476570537802028,14.138931301961348
2013-01,15864291.0,10583.249499666445,1.639893262174783,2458.2,12.887384923282188,15.943814082991695,11.592008005336892,14.341219850719895
2013-02,15382875.0,10925.337357954546,0.87890625,1237.5,13.235000000000001,16.175751649963335,11.769133522727271,14.38417687940268
2013-03,13582884.0,10909.946987951807,0.3455421686746988,430.2,13.055975903614458,15.921921833676167,11.570048192771084,14.10981486923303
2013-04,14795306.0,11234.097190584662,0.8070615034168566,1062.9,12.827949886104783,15.672510551135963,11.239407744874716,13.731713799480412
2013-05,14451496.0,11176.717710750194,1.374941995359629,1777.8000000000002,12.74399071925754,15.55093437371268,11.159582366589328,13.61755017277526
2013-06,16613452.0,11127.563295378433,1.5517079705291361,2316.7000000000003,12.746637642330876,15.575070432955618,11.184460817146686,13.666252220364962
2013-07,15611652.0,10277.585253456222,0.33528637261356153,509.3,13.034516129032259,15.965845331984639,11.433870967741935,14.005231464652052
