road_site_id,road_name,station_id,station_distance_km
101 1011492-0 1/ 124 +||Ellebjergvej||720881||6172777,Ellebjergvej,5735,5.742920096478545
101 1011492-0 1/ 124 -||Ellebjergvej||720881||6172777,Ellebjergvej,5735,5.742920096478545
101 1011492-0 1/ 124 T||Ellebjergvej||720881||6172777,Ellebjergvej,5735,5.742920096478545
101 1011600-0 2/ 400 +||Englandsvej||726552||6171708,Englandsvej,6180,3.94294770962797
101 1011600-0 2/ 400 -||Englandsvej||726552||6171708,Englandsvej,6180,3.94294770962797
101 1011600-0 2/ 400 T||Englandsvej||726552||6171708,Englandsvej,6180,3.94294770962797
101 1011908-0 0/ 66 +||Fredensbro||724290||6177606,Fredensbro,5735,0.6033948283205136
101 1011908-0 0/ 66 -||Fredensbro||724290||6177606,Fredensbro,5735,0.6033948283205136
101 1011908-0 0/ 66 T||Fredensbro||724290||6177606,Fredensbro,5735,0.6033948283205136
101 1011964-0 0/ 200 +||Frederikssundsvej||722023||6178546,Frederikssundsvej,5735,2.982842663617858
101 1011964-0 0/ 200 -||Frederikssundsvej||722023||6178546,Frederikssundsvej,5735,2.982842663617858
101 1011964-0 0/ 200 T||Frederikssundsvej||722023||6178546,Frederikssundsvej,5735,2.982842663617858
