month,traffic_mean,traffic_median,rain_mean_mm,n_obs
1,11037.818583372771,8613.0,1.940085186938003,6339
2,11087.396674172875,8592.0,1.0712627749870085,5773
3,10926.116106804478,8510.0,0.7097157622739018,5805
4,10915.77308817384,8598.5,0.891558712912662,4786
5,11100.15771335901,8361.0,1.5698357997161971,4933
6,11238.941529525653,8479.0,2.0995740561471443,5165
7,10095.316831683169,7667.0,3.2608994797784865,5959
8,11494.085704607047,8869.5,2.8277439024390243,5904
9,11573.257337526205,8961.0,2.0711914744933613,5724
10,11374.58132787165,8520.0,2.5457415941286907,5859
11,11059.256232939035,8221.0,1.5136669699727026,5495
12,11084.276245456489,8270.0,2.237887534744494,4677
