station_id,station_name,station_type,station_status,station_lon,station_lat
06089,Sædenstrand Fyr,Synop,Active,8.398,55.4956
06093,Vester Vedsted,Synop,Active,8.6551,55.2908
06096,Rømø/Juvre,Synop,Active,8.56,55.1908
06102,HORSENS/BYGHOLM,Synop,Active,9.7872,55.868
06104,Billund Lufthavn,Synop,Active,9.1674,55.7379
06108,Kolding Lufthavn,Synop,Active,9.3338,55.4376
06109,Askov,Synop,Active,9.1124,55.4715
06110,Flyvestation Skrydstrup,Synop,Active,9.2634,55.2251
06111,Bågø Fyr,Synop,Active,9.7994,55.2976
06116,Store Jyndevad,Synop,Active,9.123,54.8987
06118,Sønderborg Lufthavn,Synop,Active,9.793,54.9616
06119,Kegnæs Fyr,Synop,Active,9.988,54.8529
06120,Odense Lufthavn,Synop,Active,10.3297,55.4735
06123,Tvingsbjerg Fyr,Synop,Active,9.8928,55.3106
06124,Sydfyns Flyveplads,Synop,Active,10.5686,55.0142
06126,Årslev,Synop,Active,10.4398,55.3088
06132,Tranebjerg Øst,Synop,Active,10.6217,55.8315
06134,Tranebjerg Syd,Synop,Active,10.5839,55.811
06135,Flakkebjerg,Synop,Active,11.3879,55.3224
06136,Tystofte,Synop,Active,11.3285,55.2465
06138,Langø,Synop,Active,10.9939,54.8205
06141,Abed,Synop,Active,11.3292,54.8275
06147,Gedser Rev Fyrskib,Synop,Active,12.1791,54.4536
06149,Gedser Fyr,Synop,Active,11.964,54.5639
06151,Omø Fyr,Synop,Active,11.1339,55.1598
06154,Brandelev,Synop,Active,11.8605,55.2075
06156,Holbæk,Synop,Active,11.7088,55.7154
06159,Røsnæs Fyr,Synop,Active,10.8691,55.7436
06168,Nakkehoved Fyr,Synop,Active,12.3429,56.1193
06169,Gniben,Synop,Active,11.2805,56.0067
06170,Roskilde Lufthavn,Synop,Active,12.1366,55.5867
06174,Køge,Synop,Active,12.1913,55.4634
06180,Københavns Lufthavn,Synop,Active,12.6455,55.614
06181,Jægersborg,Synop,Active,12.5263,55.7664
06186,Landbohøjskolen,Synop,Active,12.5403,55.6814
06187,Københavns Toldbod,Synop,Active,12.5985,55.6886
06188,Sjælsmark,Synop,Active,12.4121,55.8764
06190,Bornholms Lufthavn,Synop,Active,14.7494,55.0677
06191,Christiansø Fyr,Synop,Active,15.1875,55.3218
06193,Hammer Odde Fyr,Synop,Active,14.7726,55.2981
06197,Nexø Vest,Synop,Active,15.0953,55.0557
