model,coef_name,elasticity,std_error,p_value,n_obs,r_squared
real_gasoline_trend_main,log_real_gasoline_price,-0.30863510560986285,0.12165896875305117,0.011184291906054931,66419,0.977279101573808
real_gasoline_fe_month,log_real_gasoline_price,-0.014053713572433374,0.1285178265615728,0.9129231050761613,66419,0.9791319053794901
nominal_gasoline_trend,log_gasoline_price,-0.206715972662604,0.11270908199710429,0.06664409562238881,66419,0.9772528619958065
nominal_diesel_trend,log_diesel_price,-0.03495742041524684,0.11576890125092203,0.7626835896690208,66419,0.9772247803637526
